date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
193205,-0.15380000000000002,-0.2278,-0.2024,-0.0885,-0.19039999999999999,-0.19710000000000003,-0.1844,-0.2967,-0.2046,-0.265,-0.2635,-0.2482
193206,0.0861,0.041100000000000005,0.054900000000000004,0.028399999999999998,0.041299999999999996,0.0632,-0.1093,-0.0034000000000000002,0.0047,0.056600000000000004,0.0267,0.0165
193207,0.3371,0.3835,0.4875,0.4733,0.3624,0.4743,0.3034,0.3697,0.2426,0.3091,0.5635,0.5655
193208,0.5655,0.758,0.7247,0.42229999999999995,0.5645,0.5519,0.36210000000000003,0.6566,0.6920000000000001,0.4021,0.7776000000000001,0.7665000000000001
193209,-0.0564,0.028700000000000003,-0.06849999999999999,-0.0782,-0.0291,-0.0808,0.018600000000000002,-0.07780000000000001,-0.058300000000000005,-0.0286,-0.0835,-0.0784
193210,-0.1363,-0.2286,-0.1872,-0.08199999999999999,-0.1638,-0.1932,-0.11900000000000001,-0.1381,-0.1484,-0.17010000000000003,-0.15130000000000002,-0.18760000000000002
193211,-0.0828,-0.0751,-0.07780000000000001,-0.0422,-0.035,-0.0894,-0.028900000000000002,-0.066,-0.0629,-0.0383,-0.0616,-0.11359999999999999
193212,-0.025,-0.059500000000000004,-0.017,-0.0455,0.0402,-0.029500000000000002,0.011899999999999999,0.0305,-0.0591,-0.0096,-0.0336,-0.056100000000000004
193301,0.0371,0.0275,0.043,-0.0097,0.0481,0.0581,-0.0058,-0.0571,0.0123,-0.014499999999999999,0.046,0.0827
193302,-0.07830000000000001,-0.257,-0.167,-0.0849,-0.198,-0.1674,-0.1229,-0.2177,-0.1795,-0.1131,-0.1886,-0.15460000000000002
193303,0.1381,0.0367,0.1595,0.0708,0.09970000000000001,0.1079,-0.0167,-0.1584,0.1788,0.0524,0.0163,0.0265
193304,0.5583,0.6374000000000001,0.632,0.39159999999999995,0.4526,0.5507,0.3455,0.3751,0.434,0.2303,0.4018,0.4557
193305,0.44420000000000004,0.8092,0.6331,0.6265,0.4455,0.5182,0.19210000000000002,0.4554,0.6666,0.3468,0.5181,0.6951
193306,0.2256,0.3297,0.19,0.20670000000000002,0.25420000000000004,0.16519999999999999,0.1264,0.2046,0.21120000000000003,0.0901,0.1997,0.23579999999999998
193307,-0.08900000000000001,-0.13210000000000002,-0.1094,-0.1429,-0.0758,-0.0663,0.0088,-0.15,-0.1302,-0.1843,-0.1211,0.0034000000000000002
193308,0.1045,0.15880000000000002,0.1257,0.1525,0.15789999999999998,0.1584,0.0611,0.0097,0.10220000000000001,0.0353,0.1032,0.07940000000000001
193309,-0.1358,-0.1814,-0.14880000000000002,-0.09179999999999999,-0.12090000000000001,-0.151,-0.0858,-0.23079999999999998,-0.154,-0.0731,-0.1773,-0.1775
193310,-0.086,-0.13390000000000002,-0.11449999999999999,-0.0968,-0.0732,-0.13269999999999998,-0.0784,-0.1035,-0.10640000000000001,-0.0495,-0.1326,-0.1207
193311,0.0356,0.1125,0.0913,0.0699,0.1012,0.111,0.0371,-0.005699999999999999,0.08070000000000001,0.065,0.044000000000000004,0.0315
193312,0.0004,0.09179999999999999,0.0442,-0.0706,0.0123,0.0805,-0.0022,-0.024,0.010900000000000002,-0.1104,0.0001,0.0131
193401,0.2682,0.39740000000000003,0.30920000000000003,0.3118,0.2288,0.364,0.1354,0.28190000000000004,0.3897,0.28600000000000003,0.3901,0.3468
193402,-0.0098,0.037000000000000005,0.0117,0.0007000000000000001,0.0062,-0.0533,-0.023700000000000002,0.0021,0.0795,-0.0391,-0.0412,0.02
193403,0.012700000000000001,-0.015500000000000002,-0.0001,-0.030600000000000002,0.0188,0.0363,-0.0225,-0.016200000000000003,0.0526,-0.0191,-0.0062,0.008100000000000001
193404,0.0244,-0.07830000000000001,-0.0034000000000000002,0.0165,0.0463,-0.026000000000000002,-0.0168,-0.0315,0.0054,0.0124,-0.0215,0.0111
193405,-0.0802,-0.1463,-0.1342,-0.09609999999999999,-0.0891,-0.0916,-0.0705,-0.1187,-0.1298,-0.0976,-0.0733,-0.0987
193406,0.024700000000000003,-0.059000000000000004,0.011000000000000001,0.0113,0.0315,0.0421,0.0212,0.0378,-0.0007000000000000001,0.013700000000000002,-0.015700000000000002,-0.027400000000000004
193407,-0.1481,-0.21420000000000003,-0.20199999999999999,-0.1673,-0.131,-0.17739999999999997,-0.0959,-0.22510000000000002,-0.1611,-0.1244,-0.18300000000000002,-0.24120000000000003
193408,0.0768,0.1011,0.1151,0.08990000000000001,0.11720000000000001,0.1017,0.001,0.0422,0.0819,0.0242,0.0742,0.12090000000000001
193409,-0.0040999999999999995,-0.035,-0.0301,-0.0171,-0.006,-0.01,-0.0042,0.0054,0.0506,-0.013999999999999999,-0.0202,-0.0061
193410,-0.018500000000000003,-0.013200000000000002,-0.0209,-0.041600000000000005,0.0001,-0.004,-0.04070000000000001,-0.0752,0.0547,0.0182,-0.0011,-0.0647
193411,0.1092,0.2693,0.20600000000000002,0.078,0.12050000000000001,0.168,-0.006,0.0067,0.1103,0.0483,0.1387,0.0461
193412,0.0006,0.0525,0.042300000000000004,-0.0067,0.0441,-0.0031,0.0296,-0.0902,0.0168,0.001,0.0363,-0.0099
193501,-0.0235,-0.0589,-0.0223,-0.0044,-0.0345,-0.050800000000000005,-0.0315,-0.0336,-0.0308,-0.015300000000000001,-0.08630000000000002,-0.0409
193502,-0.0216,-0.0941,-0.0552,-0.0357,-0.0028000000000000004,-0.0159,-0.037000000000000005,-0.1592,-0.07200000000000001,-0.010400000000000001,-0.0572,-0.10250000000000001
193503,-0.0833,-0.09670000000000001,-0.0833,-0.07440000000000001,-0.05740000000000001,-0.0701,-0.0217,0.1198,-0.0688,-0.046900000000000004,-0.0466,-0.095
193504,0.0796,0.1124,0.1104,0.14300000000000002,0.0792,0.12490000000000001,0.10650000000000001,0.10400000000000001,0.0414,0.033,0.08720000000000001,0.1134
193505,0.0278,-0.0257,0.0233,-0.003,0.014499999999999999,0.015700000000000002,0.0524,0.2274,0.0143,-0.013500000000000002,0.0962,0.0125
193506,0.0322,0.0916,0.050199999999999995,0.0013000000000000002,0.055999999999999994,0.1186,0.0639,0.0338,0.031000000000000003,0.0402,0.037000000000000005,0.0236
193507,0.046,0.2064,0.16640000000000002,0.0273,0.0278,0.1552,0.08560000000000001,0.154,0.1066,0.10039999999999999,0.12390000000000001,0.1023
193508,0.0468,0.0524,0.0567,0.08470000000000001,0.0313,0.032100000000000004,0.053200000000000004,0.2045,0.1165,0.005600000000000001,0.1591,0.1252
193509,0.042800000000000005,0.1283,0.0477,-0.025099999999999997,0.0248,0.0495,0.0028000000000000004,-0.0779,-0.015500000000000002,0.0584,-0.0111,-0.0075
193510,0.0509,0.1362,0.0882,0.1099,0.08710000000000001,0.1765,0.1283,0.197,0.1076,0.1008,0.07440000000000001,0.0179
193511,0.0908,0.1178,0.136,0.1641,0.0271,0.1036,0.0877,0.013200000000000002,0.1093,0.0144,0.1705,0.331
193512,0.0245,0.061200000000000004,0.0866,0.1303,0.061500000000000006,0.0987,0.024700000000000003,0.0782,-0.0048,0.0848,0.0492,0.0326
193601,0.1328,0.1067,0.13210000000000002,0.2799,0.0646,0.1042,0.0536,0.1955,0.0765,0.1398,0.1973,0.244
193602,0.0219,0.1032,0.0722,0.0102,0.0572,0.0348,0.053099999999999994,-0.0819,0.036000000000000004,0.0126,0.018500000000000003,0.06230000000000001
193603,-0.0158,0.0638,0.0042,0.0098,0.0195,-0.001,-0.032400000000000005,0.057800000000000004,0.034,0.0347,-0.0378,-0.015300000000000001
193604,-0.10220000000000001,-0.1661,-0.1351,-0.127,-0.1112,-0.1068,-0.078,-0.1017,-0.1112,-0.1409,-0.1404,-0.11960000000000001
193605,0.027400000000000004,0.0421,0.0655,-0.0131,0.0356,0.0683,0.0305,0.10960000000000002,0.0788,0.0625,0.0675,0.0645
193606,0.009000000000000001,0.0091,-0.015700000000000002,-0.0045000000000000005,-0.0013000000000000002,0.0003,0.0271,0.0209,0.0217,0.0076,0.0269,-0.0159
193607,0.0547,0.0724,0.09910000000000001,0.055400000000000005,0.0844,0.10099999999999999,0.0219,0.1023,0.11220000000000001,0.0592,0.0965,0.0726
193608,0.0091,0.0263,0.0333,0.0059,0.020499999999999997,0.0034999999999999996,0.013300000000000001,-0.013500000000000002,0.0363,-0.010700000000000001,-0.012,0.032799999999999996
193609,0.0219,0.045899999999999996,0.0316,0.0641,0.0158,0.0556,0.025,0.0033000000000000004,0.055700000000000006,0.0103,-0.0027,0.0327
193610,0.0587,0.0442,0.07200000000000001,0.0835,0.0683,0.0501,0.0478,0.0342,0.0907,0.0354,0.0737,0.06230000000000001
193611,0.0943,0.0437,0.1142,0.0866,0.0815,0.0675,0.046200000000000005,-0.0255,0.1544,0.054400000000000004,0.0922,0.0756
193612,0.009300000000000001,-0.0468,0.0716,0.1292,0.0103,-0.0061,-0.030699999999999998,0.0146,-0.066,-0.024700000000000003,0.0298,0.0334
193701,0.057,0.1119,0.1067,0.0723,0.096,0.052300000000000006,-0.003,0.0788,0.0406,0.08960000000000001,0.067,0.0699
193702,0.0121,0.0244,0.0362,-0.028700000000000003,-0.013500000000000002,0.0115,-0.0282,-0.0417,0.0355,-0.0349,-0.0023,0.0825
193703,-0.011399999999999999,-0.0342,0.0207,0.0671,0.029300000000000003,-0.0495,-0.018600000000000002,-0.0756,-0.0256,-0.0337,-0.0481,0.0286
193704,-0.08650000000000001,-0.1149,-0.1124,-0.0812,-0.0707,-0.0951,-0.0683,-0.1008,-0.1067,-0.0541,-0.098,-0.12
193705,-0.0217,-0.039,-0.0024,-0.0265,0.0040999999999999995,0.008199999999999999,-0.0269,-0.0663,-0.0409,0.0026000000000000003,-0.0258,-0.0475
193706,-0.0634,-0.0984,-0.0644,-0.0676,-0.0588,-0.054400000000000004,-0.061,-0.06849999999999999,-0.0571,-0.06910000000000001,-0.0792,-0.1352
193707,0.0703,0.1445,0.10460000000000001,0.0775,0.0659,0.0916,0.0717,0.2329,0.0986,0.0621,0.1067,0.1038
193708,-0.0373,-0.062400000000000004,-0.0521,-0.0501,-0.037000000000000005,-0.0222,-0.0252,-0.1099,-0.0541,-0.044500000000000005,-0.0675,-0.069
193709,-0.1656,-0.21989999999999998,-0.2236,-0.2022,-0.1585,-0.2104,-0.1069,-0.1617,-0.1864,-0.1258,-0.1727,-0.19890000000000002
193710,-0.0864,-0.1323,-0.1334,-0.06910000000000001,-0.0867,-0.126,-0.0676,-0.0257,-0.0833,-0.0484,-0.10400000000000001,-0.0894
193711,-0.10439999999999999,-0.1551,-0.1076,-0.1126,-0.1257,-0.11660000000000001,-0.0664,0.0002,-0.1442,-0.09720000000000001,-0.0848,-0.0974
193712,-0.0759,-0.1833,-0.0837,-0.0725,-0.10210000000000001,-0.0639,-0.0696,-0.12480000000000001,-0.136,-0.0674,-0.10490000000000001,-0.1417
